Organization Name,Phone Number,Address,Description
Waxahachie Housing Authority,972-937-5730,2100 Circle Dr, #200, Fort Worth, TX,Waxahachie Housing Authority
Anchor Home,469-256-8682,208 Patrick St, Waxahachie, TX,Anchor Home
Dallas PD,214-670-5258,PO Box 1403 Midlothian, TX 76065,Support and empower women and provide case management Police Departments Dallas PD
Desoto PD,972-223-6111,,Desoto PD
Garland PD,972-485-4840,,Garland PD
Mesquite PD,972-285-6336,,Mesquite PD
Plano PD,972-424-5678,,Plano PD
Richardson PD,972-238-3800,11,Family Gateway Resource Packet Richardson PD
Warrant Information,214-761-9026,,Warrant Information
